locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEKMDCAF_03460	CDS	978				hypothetical protein
EEKMDCAF_03461	CDS	771	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
EEKMDCAF_03462	CDS	2124	FCS1_3	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
EEKMDCAF_03463	CDS	1218				hypothetical protein
EEKMDCAF_03464	CDS	1212		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
EEKMDCAF_03465	CDS	771	cpnA_1	1.1.1.163		Cyclopentanol dehydrogenase
EEKMDCAF_03466	CDS	1026				hypothetical protein
EEKMDCAF_03467	CDS	774	budC_1	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
EEKMDCAF_03468	CDS	816				hypothetical protein
EEKMDCAF_03469	CDS	468				hypothetical protein
EEKMDCAF_03470	CDS	1500				hypothetical protein
EEKMDCAF_03471	CDS	1056	ydiK_2		COG0628	Putative transport protein YdiK
EEKMDCAF_03472	CDS	2220				hypothetical protein
EEKMDCAF_03473	CDS	963	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EEKMDCAF_03474	CDS	1215	ackA	2.7.2.1	COG0282	Acetate kinase
EEKMDCAF_03475	CDS	789	fabI_3	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EEKMDCAF_03476	CDS	459		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
EEKMDCAF_03477	CDS	651	atoA	2.8.3.8	COG2057	Acetate CoA-transferase subunit beta
EEKMDCAF_03478	CDS	654	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
EEKMDCAF_03479	CDS	126				hypothetical protein
EEKMDCAF_03480	CDS	351				hypothetical protein
EEKMDCAF_03481	CDS	444				hypothetical protein
EEKMDCAF_03482	CDS	684	fixK_3		COG0664	Nitrogen fixation regulation protein FixK
EEKMDCAF_03483	CDS	633	todT_4			Response regulator protein TodT
EEKMDCAF_03484	CDS	507				hypothetical protein
EEKMDCAF_03485	CDS	579				hypothetical protein
EEKMDCAF_03486	CDS	894				hypothetical protein
EEKMDCAF_03487	CDS	1689	aspT_1			Aspartate/alanine antiporter
EEKMDCAF_03488	CDS	684				hypothetical protein
EEKMDCAF_03489	CDS	1692			COG0659	putative sulfate transporter
EEKMDCAF_03490	CDS	2754				hypothetical protein
EEKMDCAF_03491	CDS	126				hypothetical protein
EEKMDCAF_03492	CDS	1551	aspT_2			Aspartate/alanine antiporter
EEKMDCAF_03493	CDS	1704	aspT_3			Aspartate/alanine antiporter
EEKMDCAF_03494	CDS	1620	asD	2.6.1.1		Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase
EEKMDCAF_03495	CDS	435				hypothetical protein
EEKMDCAF_03496	CDS	468				hypothetical protein
EEKMDCAF_03497	CDS	801		2.7.4.1		Polyphosphate:ADP phosphotransferase 3
EEKMDCAF_03498	CDS	453				hypothetical protein
EEKMDCAF_03499	CDS	456				hypothetical protein
EEKMDCAF_03500	CDS	1233	yibH		COG1566	Inner membrane protein YibH
EEKMDCAF_03501	CDS	285				hypothetical protein
EEKMDCAF_03502	CDS	1914	sasA_13	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_03503	CDS	1656				hypothetical protein
EEKMDCAF_03504	CDS	918				hypothetical protein
EEKMDCAF_03505	CDS	471				hypothetical protein
EEKMDCAF_03506	CDS	213				hypothetical protein
EEKMDCAF_03507	CDS	216				hypothetical protein
EEKMDCAF_03508	CDS	507				hypothetical protein
EEKMDCAF_03509	CDS	954				hypothetical protein
EEKMDCAF_03510	CDS	1203				hypothetical protein
EEKMDCAF_03511	CDS	1248				hypothetical protein
EEKMDCAF_03512	CDS	933				hypothetical protein
EEKMDCAF_03513	CDS	909				hypothetical protein
EEKMDCAF_03514	CDS	648				hypothetical protein
EEKMDCAF_03515	CDS	1338				hypothetical protein
EEKMDCAF_03516	CDS	420				hypothetical protein
EEKMDCAF_03517	CDS	1653	sctC_5			Type 3 secretion system secretin
EEKMDCAF_03518	CDS	408				hypothetical protein
EEKMDCAF_03519	CDS	537				hypothetical protein
EEKMDCAF_03520	CDS	498				hypothetical protein
EEKMDCAF_03521	CDS	1080				hypothetical protein
EEKMDCAF_03522	CDS	351	bigR		COG0640	Biofilm growth-associated repressor
EEKMDCAF_03523	CDS	372				hypothetical protein
EEKMDCAF_03524	CDS	732	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
EEKMDCAF_03525	CDS	720				hypothetical protein
EEKMDCAF_03526	CDS	615				hypothetical protein
EEKMDCAF_03527	CDS	444				hypothetical protein
EEKMDCAF_03528	CDS	453				hypothetical protein
EEKMDCAF_03529	CDS	327				hypothetical protein
EEKMDCAF_03530	CDS	822	soxA_3	2.8.5.2		L-cysteine S-thiosulfotransferase subunit SoxA
EEKMDCAF_03531	CDS	1692				hypothetical protein
EEKMDCAF_03532	CDS	1272				hypothetical protein
EEKMDCAF_03533	CDS	693				hypothetical protein
EEKMDCAF_03534	CDS	465				hypothetical protein
EEKMDCAF_03535	CDS	906				hypothetical protein
EEKMDCAF_03536	CDS	444				hypothetical protein
EEKMDCAF_03537	CDS	1092				hypothetical protein
EEKMDCAF_03538	CDS	552				hypothetical protein
EEKMDCAF_03539	CDS	552				hypothetical protein
EEKMDCAF_03540	CDS	309	hlyU_1		COG0640	Transcriptional activator HlyU
EEKMDCAF_03541	CDS	288				hypothetical protein
EEKMDCAF_03542	CDS	810				IS21 family transposase ISBj11
EEKMDCAF_03543	CDS	1473				hypothetical protein
EEKMDCAF_03544	CDS	573				hypothetical protein
EEKMDCAF_03545	CDS	972	hdfR_2			HTH-type transcriptional regulator HdfR
EEKMDCAF_03546	CDS	621	ubiX_1	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
EEKMDCAF_03547	CDS	1416	bsdC	4.1.1.61	COG0043	Phenolic acid decarboxylase
EEKMDCAF_03548	CDS	840				hypothetical protein
EEKMDCAF_03549	CDS	2994				hypothetical protein
EEKMDCAF_03550	CDS	816				hypothetical protein
EEKMDCAF_03551	CDS	519	cdhC_1	1.17.5.2		Caffeine dehydrogenase subunit gamma
EEKMDCAF_03552	CDS	1545	fcbA2	6.2.1.33		4-chlorobenzoate--CoA ligase
EEKMDCAF_03553	CDS	807	caiD_2	4.2.1.149		Carnitinyl-CoA dehydratase
EEKMDCAF_03554	CDS	816	proP_2			Proline/betaine transporter
EEKMDCAF_03555	CDS	444				hypothetical protein
EEKMDCAF_03556	CDS	285		1.1.3.47		5-(hydroxymethyl)furfural oxidase
EEKMDCAF_03557	CDS	1305	otnK_2	2.7.1.217		3-oxo-tetronate kinase
EEKMDCAF_03558	tRNA	92				tRNA-Arg(ccg)
EEKMDCAF_03559	CDS	789	aroE_3	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
EEKMDCAF_03560	CDS	1131	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
EEKMDCAF_03561	CDS	879	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
EEKMDCAF_03562	CDS	807	ydcV_2			Inner membrane ABC transporter permease protein YdcV
EEKMDCAF_03563	CDS	1068				hypothetical protein
EEKMDCAF_03564	CDS	351				hypothetical protein
EEKMDCAF_03565	CDS	2262	dmfA2_1	3.5.1.56		N,N-dimethylformamidase beta subunit
EEKMDCAF_03566	CDS	1698				hypothetical protein
EEKMDCAF_03567	CDS	723	mcbR		COG1802	HTH-type transcriptional regulator McbR
EEKMDCAF_03568	CDS	1227	fumI	2.6.1.-		Aminopentol aminotransferase
EEKMDCAF_03569	CDS	1674	fcuA_1			Ferrichrome receptor FcuA
EEKMDCAF_03570	CDS	255	fcuA_2			Ferrichrome receptor FcuA
EEKMDCAF_03571	CDS	558	yceJ_2		COG3038	Cytochrome b561 
EEKMDCAF_03572	CDS	1101	sasA_14	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_03573	CDS	687	srrA		COG0745	Transcriptional regulatory protein SrrA
EEKMDCAF_03574	CDS	489				hypothetical protein
EEKMDCAF_03575	CDS	498				hypothetical protein
EEKMDCAF_03576	CDS	498				hypothetical protein
EEKMDCAF_03577	CDS	10326				hypothetical protein
EEKMDCAF_03578	CDS	1359				hypothetical protein
EEKMDCAF_03579	CDS	924	melD_3		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
EEKMDCAF_03580	CDS	978	dasC_2		COG0395	Diacetylchitobiose uptake system permease protein DasC
EEKMDCAF_03581	CDS	201				hypothetical protein
EEKMDCAF_03582	CDS	1098	sugC_2	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
EEKMDCAF_03583	CDS	1029	btuD_9	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EEKMDCAF_03584	CDS	624	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
EEKMDCAF_03585	CDS	393	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
EEKMDCAF_03586	CDS	300	ptsO		COG1925	Phosphocarrier protein NPr
EEKMDCAF_03587	CDS	1620	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
EEKMDCAF_03588	CDS	423				hypothetical protein
EEKMDCAF_03589	CDS	984	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
EEKMDCAF_03590	CDS	324	degU_4		COG2197	Transcriptional regulatory protein DegU
EEKMDCAF_03591	CDS	684				hypothetical protein
EEKMDCAF_03592	CDS	903				hypothetical protein
EEKMDCAF_03593	CDS	438				hypothetical protein
EEKMDCAF_03594	CDS	765				hypothetical protein
EEKMDCAF_03595	CDS	1347			COG3039	IS5 family transposase ISBj5_B
EEKMDCAF_03596	CDS	108				hypothetical protein
EEKMDCAF_03597	CDS	630				hypothetical protein
EEKMDCAF_03598	CDS	1587			COG0500	putative protein RP789
EEKMDCAF_03599	CDS	2640	clpV1		COG0542	Protein ClpV1
EEKMDCAF_03600	CDS	1032				hypothetical protein
EEKMDCAF_03601	CDS	657				hypothetical protein
EEKMDCAF_03602	CDS	1332				hypothetical protein
EEKMDCAF_03603	CDS	549				hypothetical protein
EEKMDCAF_03604	CDS	486	hcp1		COG3157	Protein hcp1
EEKMDCAF_03605	CDS	1503				hypothetical protein
EEKMDCAF_03606	CDS	528				hypothetical protein
EEKMDCAF_03607	CDS	1314				hypothetical protein
EEKMDCAF_03608	CDS	1869	vgrG1	6.3.2.-		Actin cross-linking toxin VgrG1
EEKMDCAF_03609	CDS	564				hypothetical protein
EEKMDCAF_03610	CDS	1380				hypothetical protein
EEKMDCAF_03611	CDS	1338				hypothetical protein
EEKMDCAF_03612	CDS	1527				hypothetical protein
EEKMDCAF_03613	CDS	3537				hypothetical protein
EEKMDCAF_03614	CDS	696				hypothetical protein
EEKMDCAF_03615	CDS	777	stp_2	3.1.3.16	COG0631	Serine/threonine phosphatase stp
EEKMDCAF_03616	CDS	1809	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
EEKMDCAF_03617	CDS	984				hypothetical protein
EEKMDCAF_03618	CDS	282				hypothetical protein
EEKMDCAF_03619	CDS	1722				hypothetical protein
EEKMDCAF_03620	CDS	1782				hypothetical protein
EEKMDCAF_03621	CDS	648				hypothetical protein
EEKMDCAF_03622	CDS	993				hypothetical protein
EEKMDCAF_03623	CDS	1863				hypothetical protein
EEKMDCAF_03624	CDS	462				hypothetical protein
EEKMDCAF_03625	CDS	396				hypothetical protein
EEKMDCAF_03626	CDS	960				hypothetical protein
EEKMDCAF_03627	CDS	1185	braC_5		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
EEKMDCAF_03628	CDS	873	livH_10		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EEKMDCAF_03629	CDS	1014				hypothetical protein
EEKMDCAF_03630	CDS	771	livF_11		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_03631	CDS	741	livF_12		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_03632	CDS	1209	aatB	2.6.1.1	COG0436	Aspartate aminotransferase
EEKMDCAF_03633	CDS	1002				hypothetical protein
EEKMDCAF_03634	CDS	2067	apc3_2	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
EEKMDCAF_03635	CDS	1683	apc4_2	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
EEKMDCAF_03636	CDS	804		1.-.-.-		putative oxidoreductase
EEKMDCAF_03637	CDS	702	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
EEKMDCAF_03638	CDS	693		1.-.-.-		putative oxidoreductase
EEKMDCAF_03639	CDS	1203	aatA_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
EEKMDCAF_03640	CDS	933	potB_2		COG1176	Spermidine/putrescine transport system permease protein PotB
EEKMDCAF_03641	CDS	804	ydcV_3			Inner membrane ABC transporter permease protein YdcV
EEKMDCAF_03642	CDS	1065	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
EEKMDCAF_03643	CDS	1095	potA_4	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
EEKMDCAF_03644	CDS	720	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
EEKMDCAF_03645	CDS	978	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
EEKMDCAF_03646	CDS	768	pxpA_1	3.5.2.9	COG1540	5-oxoprolinase subunit A
EEKMDCAF_03647	CDS	426				hypothetical protein
EEKMDCAF_03648	CDS	984	pxpC_2	3.5.2.9	COG1984	5-oxoprolinase subunit C
EEKMDCAF_03649	CDS	663	pxpB_2	3.5.2.9	COG2049	5-oxoprolinase subunit B
EEKMDCAF_03650	CDS	1356	accC_1	6.3.4.14	COG0439	Biotin carboxylase
EEKMDCAF_03651	CDS	447	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
EEKMDCAF_03652	CDS	759	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
EEKMDCAF_03653	CDS	987				hypothetical protein
EEKMDCAF_03654	CDS	672	ligK_2	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipate aldolase
EEKMDCAF_03655	CDS	522				hypothetical protein
EEKMDCAF_03656	CDS	474				hypothetical protein
EEKMDCAF_03657	CDS	963				hypothetical protein
EEKMDCAF_03658	CDS	1053				hypothetical protein
EEKMDCAF_03659	CDS	1842	mshA_6	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EEKMDCAF_03660	CDS	1749	mshA_7	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
EEKMDCAF_03661	CDS	492	epsM_1	2.3.1.-	COG0110	Putative acetyltransferase EpsM
EEKMDCAF_03662	CDS	1143	per_1	2.6.1.102	COG0399	GDP-perosamine synthase
EEKMDCAF_03663	CDS	783	tagH_1	7.5.2.4		Teichoic acids export ATP-binding protein TagH
EEKMDCAF_03664	CDS	849				hypothetical protein
EEKMDCAF_03665	CDS	264	SIRT4	2.3.1.286		NAD-dependent protein lipoamidase sirtuin-4, mitochondrial
EEKMDCAF_03666	CDS	1200				hypothetical protein
EEKMDCAF_03667	CDS	708	LRA5_1	1.1.1.401		2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))
EEKMDCAF_03668	CDS	831				hypothetical protein
EEKMDCAF_03669	CDS	615				hypothetical protein
EEKMDCAF_03670	CDS	1728	kstD_2	1.3.99.4		3-oxosteroid 1-dehydrogenase
EEKMDCAF_03671	CDS	1725	kstD_3	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
EEKMDCAF_03672	CDS	810	aroE_4	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
EEKMDCAF_03673	CDS	2532	btuD_10	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EEKMDCAF_03674	CDS	870	livH_11		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EEKMDCAF_03675	CDS	1263				hypothetical protein
EEKMDCAF_03676	CDS	1056	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
EEKMDCAF_03677	CDS	852	iclR_6		COG1414	Transcriptional repressor IclR
EEKMDCAF_03678	CDS	894	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
EEKMDCAF_03679	CDS	831	nfo	3.1.21.2		endonuclease 4
EEKMDCAF_03680	CDS	888				hypothetical protein
EEKMDCAF_03681	CDS	1704	kstD_4	1.3.99.4		3-oxosteroid 1-dehydrogenase
EEKMDCAF_03682	CDS	1233				hypothetical protein
EEKMDCAF_03683	CDS	339				hypothetical protein
EEKMDCAF_03684	CDS	795	golD_1	1.1.1.6		NAD-dependent glycerol dehydrogenase
EEKMDCAF_03685	CDS	744	bacC_4	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
EEKMDCAF_03686	CDS	1053	adh_1	1.1.1.1		Alcohol dehydrogenase
EEKMDCAF_03687	CDS	207				hypothetical protein
EEKMDCAF_03688	CDS	1671	prmA	1.14.13.227		Propane 2-monooxygenase, hydroxylase component large subunit
EEKMDCAF_03689	CDS	1041	prmB_1	1.18.1.-		Propane 2-monooxygenase, reductase component
EEKMDCAF_03690	CDS	1071	prmC_2	1.14.13.227		Propane 2-monooxygenase, hydroxylase component small subunit
EEKMDCAF_03691	CDS	372				hypothetical protein
EEKMDCAF_03692	CDS	1023				hypothetical protein
EEKMDCAF_03693	CDS	834				hypothetical protein
EEKMDCAF_03694	CDS	1632	groL_1		COG0459	60 kDa chaperonin
EEKMDCAF_03695	CDS	495				hypothetical protein
EEKMDCAF_03696	CDS	111				hypothetical protein
EEKMDCAF_03697	CDS	2067	acoR_1		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
EEKMDCAF_03698	CDS	450				hypothetical protein
EEKMDCAF_03699	CDS	189				hypothetical protein
EEKMDCAF_03700	CDS	1269				hypothetical protein
EEKMDCAF_03701	CDS	183				hypothetical protein
EEKMDCAF_03702	CDS	129				hypothetical protein
EEKMDCAF_03703	CDS	528				hypothetical protein
EEKMDCAF_03704	CDS	1329				hypothetical protein
EEKMDCAF_03705	CDS	2421				hypothetical protein
EEKMDCAF_03706	CDS	699				hypothetical protein
EEKMDCAF_03707	CDS	825	hag		COG1344	Flagellin
EEKMDCAF_03708	CDS	387				hypothetical protein
EEKMDCAF_03709	CDS	1272				hypothetical protein
EEKMDCAF_03710	CDS	420				hypothetical protein
EEKMDCAF_03711	CDS	273				hypothetical protein
EEKMDCAF_03712	CDS	669	flgD		COG1843	Basal-body rod modification protein FlgD
EEKMDCAF_03713	CDS	1266	flgE_1		COG1749	Flagellar hook protein FlgE
EEKMDCAF_03714	CDS	261				hypothetical protein
EEKMDCAF_03715	CDS	459				hypothetical protein
EEKMDCAF_03716	CDS	1749	flgK_1		COG1256	Flagellar hook-associated protein 1
EEKMDCAF_03717	CDS	909				hypothetical protein
EEKMDCAF_03718	CDS	1320	sasA_15	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_03719	CDS	714	ompR_3			Transcriptional regulatory protein OmpR
EEKMDCAF_03720	CDS	1962	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
EEKMDCAF_03721	CDS	1233	macA_1		COG0845	Macrolide export protein MacA
EEKMDCAF_03722	CDS	657	ttgI			Toluene efflux pump outer membrane protein TtgI
EEKMDCAF_03723	CDS	936				hypothetical protein
EEKMDCAF_03724	CDS	366				hypothetical protein
EEKMDCAF_03725	CDS	2514	bamA_1		COG4775	Outer membrane protein assembly factor BamA
EEKMDCAF_03726	CDS	216				hypothetical protein
EEKMDCAF_03727	CDS	12387				hypothetical protein
EEKMDCAF_03728	CDS	969	lipA_1	2.8.1.8	COG0320	Lipoyl synthase
EEKMDCAF_03729	CDS	1053	aceE_2	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
EEKMDCAF_03730	CDS	1638	aceE_3	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
EEKMDCAF_03731	CDS	1569	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
EEKMDCAF_03732	CDS	1746	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
EEKMDCAF_03733	CDS	1335	dctA1			C4-dicarboxylate transport protein
EEKMDCAF_03734	CDS	1173	phaA_2	2.3.1.9		Acetyl-CoA acetyltransferase
EEKMDCAF_03735	CDS	726	phaB_2	1.1.1.36		Acetoacetyl-CoA reductase
EEKMDCAF_03736	CDS	2277	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
EEKMDCAF_03737	CDS	1323	ndh	1.6.99.3	COG1252	NADH dehydrogenase
EEKMDCAF_03738	CDS	1398	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
EEKMDCAF_03739	CDS	1005	appB_2	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
EEKMDCAF_03740	CDS	1896	dctB	2.7.13.3		C4-dicarboxylate transport sensor protein DctB
EEKMDCAF_03741	CDS	1377	dctD			C4-dicarboxylate transport transcriptional regulatory protein DctD
EEKMDCAF_03742	CDS	1719	phaC_2	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
EEKMDCAF_03743	CDS	1014	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
EEKMDCAF_03744	CDS	672				hypothetical protein
EEKMDCAF_03745	CDS	555				hypothetical protein
EEKMDCAF_03746	CDS	204				hypothetical protein
EEKMDCAF_03747	CDS	1641	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
EEKMDCAF_03748	CDS	1278	nhaD		COG1055	Na(+)/H(+) antiporter NhaD
EEKMDCAF_03749	CDS	873	glxR_2	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
EEKMDCAF_03750	CDS	438				hypothetical protein
EEKMDCAF_03751	CDS	1137				Iron-sulfur cluster carrier protein
EEKMDCAF_03752	CDS	1092	takP_1		COG4663	Alpha-keto acid-binding periplasmic protein TakP
EEKMDCAF_03753	CDS	531				hypothetical protein
EEKMDCAF_03754	CDS	1089	takP_2		COG4663	Alpha-keto acid-binding periplasmic protein TakP
EEKMDCAF_03755	CDS	237				hypothetical protein
EEKMDCAF_03756	CDS	675	qseB_2			Transcriptional regulatory protein QseB
EEKMDCAF_03757	CDS	1437	qseC	2.7.13.3		Sensor protein QseC
EEKMDCAF_03758	CDS	1287	cpg2_2	3.4.17.11		Carboxypeptidase G2
EEKMDCAF_03759	CDS	1602	dctM_2		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
EEKMDCAF_03760	CDS	540				hypothetical protein
EEKMDCAF_03761	CDS	1035	moaA_3	4.1.99.22	COG2896	GTP 3',8-cyclase
EEKMDCAF_03762	CDS	411				hypothetical protein
EEKMDCAF_03763	CDS	693	gph_3	3.1.3.18	COG0546	Phosphoglycolate phosphatase
EEKMDCAF_03764	CDS	720	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
EEKMDCAF_03765	CDS	552				hypothetical protein
EEKMDCAF_03766	CDS	1389	garB	1.8.1.16		Glutathione amide reductase
EEKMDCAF_03767	CDS	1296				hypothetical protein
EEKMDCAF_03768	CDS	1008	dhmA2_1	3.8.1.5		Haloalkane dehalogenase 2
EEKMDCAF_03769	CDS	450				hypothetical protein
EEKMDCAF_03770	CDS	153				hypothetical protein
EEKMDCAF_03771	CDS	336				hypothetical protein
EEKMDCAF_03772	CDS	621				hypothetical protein
EEKMDCAF_03773	CDS	1140				hypothetical protein
EEKMDCAF_03774	CDS	204				hypothetical protein
EEKMDCAF_03775	CDS	186				hypothetical protein
EEKMDCAF_03776	CDS	1308		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
EEKMDCAF_03777	CDS	828	egtC	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
EEKMDCAF_03778	CDS	93				hypothetical protein
EEKMDCAF_03779	CDS	1761	hmp_1	1.14.12.17		Flavohemoprotein
EEKMDCAF_03780	CDS	381				hypothetical protein
EEKMDCAF_03781	CDS	462				hypothetical protein
EEKMDCAF_03782	CDS	363				hypothetical protein
EEKMDCAF_03783	CDS	639				hypothetical protein
EEKMDCAF_03784	CDS	582				hypothetical protein
EEKMDCAF_03785	CDS	969				hypothetical protein
EEKMDCAF_03786	CDS	939	hdfR_3			HTH-type transcriptional regulator HdfR
EEKMDCAF_03787	CDS	696				hypothetical protein
EEKMDCAF_03788	CDS	1083				hypothetical protein
EEKMDCAF_03789	CDS	1488	styD_1	1.2.1.39		Phenylacetaldehyde dehydrogenase
EEKMDCAF_03790	CDS	300				hypothetical protein
EEKMDCAF_03791	CDS	897				hypothetical protein
EEKMDCAF_03792	CDS	1389	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
EEKMDCAF_03793	CDS	354	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
EEKMDCAF_03794	CDS	1758	nadE_1	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
EEKMDCAF_03795	CDS	393				hypothetical protein
EEKMDCAF_03796	CDS	723	qoxC	1.10.3.-		Quinol oxidase subunit 3
EEKMDCAF_03797	CDS	708				hypothetical protein
EEKMDCAF_03798	CDS	1776	coxN	1.9.3.1	COG0843	Alternative cytochrome c oxidase subunit 1
EEKMDCAF_03799	CDS	834	coxM_3	1.9.3.1	COG1622	Alternative cytochrome c oxidase subunit 2
EEKMDCAF_03800	CDS	120				hypothetical protein
EEKMDCAF_03801	CDS	909				hypothetical protein
EEKMDCAF_03802	CDS	1122				hypothetical protein
EEKMDCAF_03803	CDS	306				hypothetical protein
EEKMDCAF_03804	CDS	1383	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
EEKMDCAF_03805	CDS	114				hypothetical protein
EEKMDCAF_03806	CDS	492	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
EEKMDCAF_03807	CDS	186				hypothetical protein
EEKMDCAF_03808	CDS	1614	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
EEKMDCAF_03809	CDS	378				hypothetical protein
EEKMDCAF_03810	CDS	606		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
EEKMDCAF_03811	CDS	1956	atm1_2		COG5265	ATM1-type heavy metal exporter
EEKMDCAF_03812	CDS	699	psd_1	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
EEKMDCAF_03813	CDS	882				hypothetical protein
EEKMDCAF_03814	CDS	720				hypothetical protein
EEKMDCAF_03815	CDS	294				hypothetical protein
EEKMDCAF_03816	CDS	825				hypothetical protein
EEKMDCAF_03817	CDS	774	pomA		COG1291	Chemotaxis protein PomA
EEKMDCAF_03818	CDS	831	motB		COG1360	Motility protein B
EEKMDCAF_03819	CDS	1899	kup_1			Low affinity potassium transport system protein kup
EEKMDCAF_03820	CDS	1932	kup_2			Low affinity potassium transport system protein kup
EEKMDCAF_03821	CDS	354				hypothetical protein
EEKMDCAF_03822	CDS	1179	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
EEKMDCAF_03823	CDS	1125	potF		COG0687	Putrescine-binding periplasmic protein
EEKMDCAF_03824	CDS	933	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
EEKMDCAF_03825	CDS	1278	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EEKMDCAF_03826	CDS	1206				hypothetical protein
